Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
Cyril Kuruvilla,,Maqtro Pictures,,Abdul Rahim,Sameera Saneesh,,Bipin Chandran,Antony Sony,,Sagar Das,"Gilu Joseph, Joselee Lonelydoggy, BK Harinarayanan",,C/o Saira Banu  (2017),,Mejo Joseph,,,RJ Shaan,,"KS Chithra, Jyotsna, Vineeth Sreenivasan, Chinmayi, Sithara Krishnakumar, Joselee Lonelydoggy, Yazin Nizar, Koushik Menon",,2017-03-17,,"['Amala', 'Manju Warrier', 'Shane Nigam']"
,,,,,,Thought Station,,Pramod G Gopal,,Sandeep Nandakumar,PS Rafeeq,Pradeep Rangan,Gold Coins (2017),,Ouseppachan,,,,,"P Jayachandran, Amal Antony, Jassie Gift, KS Harishankar, Sreya Jayadeep, Jerald Biju, Jeffry Biju, Albin Nelson, Sneha Johnson, Chris Rose, Charly",,2017-09-06,,"['Meera Nandan', 'Sunny Wayne']"
,,,,,,,,,,,"S Thomas, Cyriac Mathew",,Parayaathe Pokunnathu (2014),,"Thomas Pynadath, S Thomas",,,,,"Najim Arshad, Thomas Pynadath, Shaija Shaji",,In progress,,[]
Jyothish Shankar,,,,Shehnad Jalal,Sameera Saneesh,,Pradeep M Nair,Pradeep M Nair,,Baiju Kuruppu,Rafeeq Ahamed,Ranjith Ambadi,Vimaanam (2017),,Gopi Sundar,,Listin Stephen,Pradeep M Nair,,"Divya S Menon, Gopi Sundar, Najim Arshad, Shreya Ghoshal, Sithara Krishnakumar, Kavya Ajith, Nandini Srikar",,2017-12-22,Pradeep M Nair,"['Prithviraj', 'Durga Krishna']"
Joseph Nellickal,,,,Shyam Dutt,,,Rafi,Rafi,,,BK Harinarayanan,,Role Models (2017),,Gopi Sundar,,GP Vijayakumar,Rafi,,"Gopi Sundar, Najim Arshad, Niranj Suresh, Sreya Raghav",,2017-06-25,,"['Fahad Fazil', 'Namitha Pramod']"
Santhosh Raman,,,,Om Prakash,Sameera Saneesh,,Ranjith,Ranjith,,Manoj Kannoth,"Rafeeq Ahamed, BK Harinarayanan",Ranjith Ambadi,Puthan Panam (2017),,Shaan Rahman,,"Ranjith, Abraham Mathew, Arun Narayan",Ranjith,"Kasargode, Palakkad, Kochi","Vineeth Sreenivasan, Gowri Lakshmi",,2017-12-04,Ranjith,['Mammootty']
,,,,,,,,Zamar Rashid,,,VT Mathilakam,,Aadam (Gold Coin) (2017),,Jithesh Kurup,,Sneha C J,,,"Chandralekha, Jithesh Kurup",,In progress,,[]
,,,,,,,,Biju J Kattakkal,,,Premadas Iruvallur,,Yours Lovingly (2018),,Alex Paul,,Rintu Anna Kattakkal,,"Kuttikkanam, Pala","Jyotsna, Manjari, Franco, Rakesh Brahmanandan, Rimi Tomy, Shyam, Priya",,2018-06-29,,"['Albi', 'Aami']"
,,,,,,,,Krishnajith S Vijayan,,,Philipose Thathampalli,,Deadline (2017),,Nikhil Prabha,,White Dot Movies,,,"Najim Arshad, Rayan Afsal, Venkitesh",,In progress,,"['Sunil Sukhada', 'Geedha Salam', 'Kalasala Babu', 'Sasi Kalinga']"
,,,,,,,,Prasanth Mambulli,,,KP Unni Cheruthuruthy,,Oru Thalayotti Kadha (2017),,"Justin Kalidas, Suresh Sanker",,,Ajmal Akber,,"P Jayachandran, Sudheesh, Justin Kalidas, Santra Sasi",,In progress,Ajmal Akber,['Ganapathi']
,,,,,,,,R Jayakumar,,,Deepak Ram,,Choothaattam (2016),,LV Ganesh,,,,,"Reshma Menon, Kalesh Karunakaran",,In progress,,['Atul Kulkarni']
,,,,,,,,,,,Sudhamsu,,Final Round (2016),,Santhosh Narayanan,,,,,,,In progress,,[]
Arun Venjaramoodu,,,,Satheesh Kurup,Sameera Saneesh,Old Monks,John Manthrickal,Midhun Manuel Thomas,LJ Films,Lijo Paul,Manu Manjith,Ronex Xavier,Alamaara (2017),,Sooraj S Kurup,,Full On Studio Frames,John Manthrickal,,"Sooraj S Kurup, Renji Panicker, Vijay Yesudas, Anju Joseph",,2017-03-17,Mahesh Gopal,"['Adhithi Ravi', 'Sunny Wayne']"
,,,,,,,,,,,Sudhamsu,,Jaana (2016),,Dhina,,,,,,,In progress,,[]
Jyothish Shankar,,,,MJ Radhakrishnan,,,Dr. Biju,Dr. Biju,,Karthik Jogesh,,Pattanam Sha,Kaadu Pookkunna Neram (2017),,Santhosh Chandran,,Sofiya Paul,Dr. Biju,,,,2017-06-01,Dr. Biju,"['Indrajith', 'Rima Kallingal']"
,,,,,,,,Sajin Lal,,,PE Usha,,Thank You Very Much (2017),,Reju Joseph,,,,,"Reju Joseph, Mridula Warrier, Usha Raj",,2017-08-25,,"['Babu Namboothiri', 'Lena']"
,,,,Yadu Vijayakrishnan,,,Vijayakrishnan,Vineeth Anil (Master Vineeth),,T Anilkumar,Vijayakrishnan,,Kaviyude Osyathu (2017),,Liyo Tom,,,Vijayakrishnan,,"Prameela, G Sreeram, Kanchana Sreeram, Jayachandran Kadambanaadu",,2017-06-01,Vijayakrishnan,['Arun Kumar']
Ramkumar Thaliparampu,,,,Jaleel Badusha,,,,"Sherry, Shyju Govindan",,Manoj Kannoth,Anil Panachooran,,God Say (2017),,Bijibal,,"Santhosh Manikkoth, EP Dinesh Nambiyar","Sherry, Shyju Govindan",,Sannidhanandan,,2017-07-01,TN Prakash,"['Mythili', 'Vinay Forrt']"
,,Goodwill Entertainments,,,,,Prajesh Sen,Prajesh Sen,Anto Joseph Film Company,,"Rafeeq Ahamed, BK Harinarayanan, Nidheesh Nadery, Swathy Chakraborthy",,Captain (2018),,"Gopi Sundar, Viswajith",,TL George,Prajesh Sen,,"P Jayachandran, Vani Jairam, Gopi Sundar, Shreya Ghoshal, Viswajith, Anusha, Sachin Raj, Zia Ul Haq, Abhijith Aanand, Mithun S Dev, Mithun Suresh",,2018-02-16,Prajesh Sen,"['Jayasurya', 'Anu Sithara']"
,,,,Dhanesh Raveendran,,Old Monks,Rajesh Jayaraman,VK Prakash,,Babu Rathnam,Rajeev Nair,Shaji Pulppally,Careful (2017),,Arvind and Shankar,,"Suresh Balaji, George Pius",Rajesh Jayaraman,,Manjari,,2017-05-26,Rajesh Jayaraman,"['Vijay Babu', 'Sandhya Raju']"
Thyagu Thavanoor,,,,Sanjay Harris,,,,Aneesh Anwar,,Ranjith Touchriver,"R Venugopal, Shinto Kodappattu, Arshid Sridhar, BK Harinarayanan",,Basheerinte Premalekhanam (2017),,Vishnu Mohan Sithara,,"PM Harris, VS Muhammad Althaf",,,"Anwar Sadath, Salih Haneef, Joyesh Chakravarthy, Vishnu Mohan Sithara, Sachin Raj",,2017-07-21,,"['Farhaan Faasil', 'Sana Altaf']"
Santhosh Raman,Gopi Sundar,Anto Joseph Film Company,,Sanu John Varghese,Dhanya Balakrishnan,Old Monks,"PV Shaji Kumar, Mahesh Narayanan",Mahesh Narayanan,,"Mahesh Narayanan, Abhilash Balachandran","Rafeeq Ahamed, BK Harinarayanan",,Take Off (2017),,"Gopi Sundar, Shaan Rahman",,"Anto Joseph, Shebin Becker","PV Shaji Kumar, Mahesh Narayanan",,"Divya S Menon, Gopi Sundar, Shaan Rahman, Hesham Abdul Wahab, Harib Hussain, Mohammed Maqbool Mansoor, Mithun Jayaraj, Vrinda Shameek, Radhika Sethumadhavan",MR Rajakrishnan,2017-03-24,Mahesh Narayanan,"['Kunchacko Boban', 'Parvathi Thiruvoth']"
,,,,,,,,,,,Santhosh Varma,,Kabali (2016),,Santhosh Narayanan,,,,,,,In progress,,[]
Krishnan Kannadi,Rajesh Mohan,Madhav Films,,Chandra Bose,Nagarajan Veli,Sajeesh M Designs,Sibi Padiyara,Mahesh Menon,May Release,Linson Raphel,Jamal V Bappu,Punaloor Ravi,Kavachitham (2016),,Joy Madhavan,,Lohith Menon,Sibi Padiyara,,,,2019-06-12,Sibi Padiyara,[]
,,,,Sasi Ramakrishna,,,,Lijo Augustin,,Jithin DK,Unnikrishnan Meetna,,Ponnaathira (2017),,Sooraj Karthaz,,,,,"Joji, Sariga O S",,In progress,,['Ambika Mohan']
,,,,,,,,,,,,,Maari (2016),,Anirudh Ravichander,,,,,,,In progress,,[]
,,,,,,,,,,,"Shibu Kallar, Murali",,Maas (2016),,Yuvan Shankar Raja,,,,,,,In progress,,[]
,,,,,,,,,,,Shibu Kallar,,PK (2016),,Shantanu Moitra,,,,,,,In progress,,[]
,,,,,,,,Sanjeev Sivan,,,ONV Kurup,,Venalodungaathe (2012),,Vidyadharan Master,,Jagadeesh Chandran,,,Vidyadharan Master,,In progress,,"['Salim Kumar', 'Seema Biswas']"
,,,,,,,,,,,,,Thotti Shiva (2016),,,,,,,,,In progress,,[]
,,Amal Neerad Productions,,Renadive,,,Shibin Francis,Amal Neerad,,Praveen Prabhakar,"Rafeeq Ahamed, BK Harinarayanan, Mohammed Maqbool Mansoor, Carolina",,CIA - Comrade In America (2017),,Gopi Sundar,,"Amal Neerad, Anwar Rashid",Shibin Francis,,"Sayanora Philip, Haricharan, Dulquer Salmaan, G Sreeram, Vaikkom Vijayalakshmi, Mohammed Maqbool Mansoor, Carolina",,2017-05-05,Shibin Francis,"['Dulquer Salmaan', 'Karthika Muraleedharan']"
Rajesh Appukkuttan,,Goodwill Entertainments,,Vishnu,,Ananthu Ashok,MG Sajeev,MG Sajeev,,Abhilash Viswanath,Guruji Ankamaali,,Romanov (2016),,Jeevan Nandan,,,MG Sajeev,,"P Jayachandran, Jyotsna, KK Nishad",,2016-09-12,MG Sajeev,"['Harikrishnan', 'Apsara Suresh']"
AV Gokul Das,,Friday Films,,Girish Gangadharan,Stephy Xavier,Old Monks,Vinod Chemban,Lijo Jose Pellissery,Friday Films,Shameer Muhammad,"Traditional, Preethi Pillai, PS Rafeeq",,Angamaly Diaries (2017),,Prasanth Pillai,,Vijay Babu,Vinod Chemban,,"Chorus, Preethi Pillai, Shreekumar Vakkiyil, Angamali Pranchi",,2017-03-03,Vinod Chemban,"['Antony Varghese', 'Tito Wilson', 'Bitto Davis', 'Binny', 'Sruthi Jayan', 'Merin', 'Reshma Anna Rajan', 'Sarath Kumar (Sarath Appani)', 'Sinoj Varghese']"
,,,,Reji Prasad,,,Prashanth C,Saji Palamel,,,Rajeev Alunkal,,Aaradi (2017),,Ramesh Narayan,Oraalkku Ethra Mannu Venam,Prasad M,Prashanth C,,Ramesh Narayan,,In progress,E Santhosh Kumar,"['Hima Sanker', 'Madhu Vibhakar']"
Lalu Thrikkulam,,Samasya Cine arts,,Arun Krishna,,Sethu Sivanandan,Mahinkar Kechery,Madhu Thathampally,,Abhilash Viswanath,Sajeendran,,Valappottukal (2017),,Sreemangalam Sreekumar,,,Mahinkar Kechery,,Sampath,,2017-03-02,Mahinkar Kechery,"['Madhu', 'Karamana Sudheer', 'Anusree']"
CK Suresh,Bijibal,,,Sunil Kaimanam,,,Kiran Narayanan,Kiran Narayanan,,Ayub Khan,"Aji Daivapura, Suku Maruthathoor",,Oru Visheshappetta Biriyanikissa (2017),,"Gopi Sundar, Sanjeev Krishnan, GK Rao",,,Kiran Narayanan,,"Vijay Yesudas, IV Reshmi",,2017-08-25,Kiran Narayanan,['Lena']
Nemom Pushparaj,,SreeGokulam Movies,,Madhu Ambatt,Sameera Saneesh,,"Harikumar, KV Mohankumar IAS",Harikumar,,,Prabha Varma,Pattanam Rasheed,Clint (2017),,Ilayaraja,,Gokulam Gopalan,"Harikumar, KV Mohankumar IAS",,"Ilayaraja, Chorus, Shreya Ghoshal, Vijay Yesudas, KJ Jeemon",,2017-11-08,,"['Rima Kallingal', 'Unni Mukundan', 'Master Alok']"
Prasanth Madhav,,Lal Creations,,Alby,,,Jean Paul Lal (Lal Jr.),Jean Paul Lal (Lal Jr.),,Ratheesh Raj,Santhosh Varma,Roshan NG,Honey Bee 2 (2017),,Deepak Dev,,Lal,Jean Paul Lal (Lal Jr.),,"Afsal, Rimi Tomy, Thoppil Anto, Lal, Peethambaran Menon, Anwar",,2017-03-23,Jean Paul Lal (Lal Jr.),"['Bhavana', 'Asif Ali']"
Murukan,Basil CJ,NiV Arts Movies,,Prathap Joseph,,,Sanalkumar Sasidharan,Sanalkumar Sasidharan,,Sanalkumar Sasidharan,Basil CJ,,S Durga (Sexy Durga) (2018),,Basil CJ,,"Shaji Mathew, Aruna Mathew",Sanalkumar Sasidharan,,Chaos,,2018-03-23,Sanalkumar Sasidharan,['Kannan Nair']
,,,,Prashanth Raveendran,,Old Monks,Ranjan Pramod,Ranjan Pramod,,Samjith Narayanan MHD,BK Harinarayanan,,Rakshaadhikaari Baiju (Oppu) (2017),,Bijibal,,"Alexander Mathew, Satheesh Kollam",Ranjan Pramod,,"P Jayachandran, Anuradha Sriram, Arun Alat, Bhavya Lakshmi, Bijibal, Rakesh Brahmanandan, Sudeep Kumar, Chithra Arun, Anakha Sadan, Bhavana",,2017-04-21,Ranjan Pramod,"['Biju Menon', 'Hannah Reji Koshy']"
Nadhan Mannur,,,,Prakash Velayudhan,,Jissen Paul,Neeraj Madhav,Gireesh Mano,,Johnkutty,"Gopi Sundar, Neeraj Madhav, BK Harinarayanan, Rzee, Atul P M (Munna)",Ronex Xavier,Lavakusha (2017),,"Gopi Sundar, Atul P M (Munna)",,"Jaison Ernakulam, Gireesh Vaikom",Neeraj Madhav,,"Gopi Sundar, Neeraj Madhav, Aju Varghese, Rzee, Atul P M (Munna)",,2017-03-11,Neeraj Madhav,['Biju Menon']
,,,,Vipin Mohan,,,Saju Kodiyan,Jayesh Mynagapalli,,,"BK Harinarayanan, Tito Kurian, Raju Thamaravattathu",,Gandhinagaril Unniyaarcha (2017),,Arun Raj,,,Saju Kodiyan,Ottappalam,"Afsal, Kottayam Nazeer, Madhav Shankar",,2017-10-11,Saju Kodiyan,['Rajini Chandy']
Ajay Mangad,Bijibal,,,Madhu Neelakandan,,,Ranjith Shankar,Ranjith Shankar,,V Saajan,Santhosh Varma,,Raamante Edanthottam (2017),,Bijibal,,Ranjith Shankar,Ranjith Shankar,,"Rajalakshmi Abhiram, Shreya Ghoshal, Sooraj Santhosh",,2017-12-05,,"['Kunchacko Boban', 'Anu Sithara']"
M Bava,,JT Films,,Sinu Sidhardh,,Collins Leophil,Jeethu Joseph,Anzar Khan,,Ayub Khan,Santhosh Varma,,Lakshyam (2017),,"M Jayachandran, Anil Johnson",,"Jeethu Joseph, Joy Thomas Sakthikulangara, Teji Manalel",Jeethu Joseph,Athirappally,Vijay Yesudas,,2017-06-05,Jeethu Joseph,"['Biju Menon', 'Indrajith', 'Sshivada']"
Joseph Nellickal,,,,Hari Nair,Sameera Saneesh,Ramesh M Channel,Vyasan Edavanakkadu,Vyasan Edavanakkadu,,B Ajith Kumar,"Santhosh Varma, Bappu Vavad",,Ayaal Jeevichirippundu (2017),,Ouseppachan,,,Vyasan Edavanakkadu,,"Ouseppachan, Amal Antony, Franco",,2017-10-03,Vyasan Edavanakkadu,"['Vijay Babu', 'Manikandan R Achari']"
Subhash Karun,,,,Faisal Ali,,Yellowtooth,Philip Sigi,Senthil Rajan,,Sooraj ES,"Kaithapram, Santhosh Varma, Manu Manjith",,Kadamkadha (2017),,Deepankuran,,,Philip Sigi,,"Arun Alat, Chorus, Divya S Menon, Jassie Gift, Niranj Suresh",,2017-07-28,Philip Sigi,"['Vinay Forrt', 'Joju George', 'Srinda Ashab', 'Veena Nandakumar']"
Prasanth Madhav,,,,,,,,,,Noufal Abdulla,,,Aanenkilum Allenkilum (2017),,,,Raju Malliath,,,,,In progress,,"['Catherine Tressa', 'Fahad Fazil', 'Sunny Wayne']"
Boban,Bijibal,"SB Developers, Sanjeevani Creations",,P Sukumar (Kiran),Kumar Edappal,Collins Leophil,Sreenivasan,Sreekrishnan,Suri Cinemas Release,Ranjan Abraham,"Rafeeq Ahamed, Dr AS Prasanth Krishna",Ranjith Ambadi,Paviyettante Madhurachooral (2018),,C Raghunath,,"VC Sudhan, C Vijayan, Sudheer C Nambiar",Sreenivasan,,"KS Chithra, MG Sreekumar, Vijay Yesudas, Vrinda Menon",,2018-06-12,Suresh Babu Sreestha,"['Sreenivasan', 'Lena', 'Shebin Benson']"
Suresh Kollam,,Chembakam Cine Creations,,Arun Krishna,Sameera Saneesh,,Mahinkar Kechery,Kollam K Rajesh,,Abhilash Viswanath,Rafeeq Ahamed,,Utharam Parayaathe (2017),,Nandhu Kartha,,Kamal Koottanadu,Mahinkar Kechery,,"P Jayachandran, Rakesh Brahmanandan, Nandhu Kartha, Judith Ann",,2017-07-28,Mahinkar Kechery,"['Karamana Sudheer', 'Hari G Nair', 'Soniya Malhar', 'Priya Mohan']"
Sudhesh Wayanadu,Sachin Shankor,Green Haven Productions,,Sajan Kalathil,,Jissen Paul,"R Sharath, Sajeev Pazhoor",R Sharath,72 Film Company,Renjith Kuzhur,Dr Suresh Kumar,,Swayam (2017),,Sachin Shankor,,Vinod Balakrishanan,"R Sharath, Sajeev Pazhoor",,Unni Menon,,In progress,R Sharath,"['Madhu', 'Lakshmipriya Menon', 'Chandramohan (New)', 'Nimay']"
,,,,,,,,Virinchi Varma,,,,,Majnu (2017),,Gopi Sundar,,,,,"Chinmayi, Rahul Nambiar, Vijitha, Ranjith, Haricharan, Naresh Iyer, Suchith Suresan",,2017-02-24,,"['Nani', 'Anu Emmanuel', 'Priya Shri']"
,,,,Gautham Sankar,,Thought Station,Sagar Sathyan,Arun K David,,Lal Krishnan,Shabareesh Varma,,Laddu (2018),Comedy,Rajesh Murugesan,,S Vinodkumar,Sagar Sathyan,,"Rajesh Murugesan, Shabareesh Varma",,2018-11-16,Sagar Sathyan,"['Balu Varghese', 'Vinay Forrt', 'Shabareesh Varma', 'Gayathri Ashok']"
A Mohandas,,"Jayaraj Motion Pictures, B Cinema",,Jithu Damodar,Sameera Saneesh,,Jinu V Abraham,Jinu V Abraham,Ranji Panicker Entertainments Release,Ranjan Abraham,"Kaithapram, Rafeeq Ahamed, Santhosh Varma, Gilu Joseph, BK Harinarayanan, Sri CP Chandy (Sabha Kavi)",Saji Kattakkada,Adam Joan (2017),,Deepak Dev,,"Brijeesh Mohamed, Josemon Simon, Nihal",Jinu V Abraham,,"Prithviraj, Deepak Dev, Karthik, Karthika, Pallavi Deepak Dev",,2017-01-09,Jinu V Abraham,"['Prithviraj', 'Bhavana', 'Narain', 'Mishti']"
Kavi,Mikku Kaavil,NNG Films,,Shinoz,,,Vishakh Punna,Vishakh Punna,,Akhil Alias,"VS Sathyan, T Ilayapadam",,Dry (2017),,MT Vikranth,,Niroup Gupta,Vishakh Punna,,"Suresh Aristo, Jojo Kongamala",,2017-03-17,Vishakh Punna,"['Roshan Mathew', 'Kris Lloyd', 'sulfi', 'Vipish Kumar', 'Navas']"
,,,,Madhu Ambatt,,,,Dr Suresh Manimala,,,Sugathakumari,,Pavizhamalli (2017),,Dr Suresh Manimala,,,Dr Suresh Manimala,,KS Chithra,,In progress,Dr Suresh Manimala,['Asha Sarath']
,,Ujjayini Productions,,Shoukath Lucca,,,Rajesh Babu K Sooranadu,AK,,Jarshaj Kommer,"PK Gopi, Thyagaraja, Rajesh Babu K Sooranadu",,Take It Easy (2017),,Jithu Thampuran,,,Rajesh Babu K Sooranadu,,"Anwar Sadath, Ranjini Jose, Sithara Krishnakumar, Sunil Kumar P K, Mridula Warrier, Rajesh Babu K Sooranadu",,In progress,Rajesh Babu K Sooranadu,"['Kabeer Nallalam', 'Sidhique Thamarassery']"
Ajith Plakkadu,,,,Saji Nair,,,Umesh Omanakkuttan,Vidhu Vincent,,Appu Bhattathiri,N Jayakumar,,ManHole (2016),,Sidhartha Pradeep,,"MP Vincent, Jose Vincent",Umesh Omanakkuttan,,"Nithin Raj, Mini Raman",,In progress,Umesh Omanakkuttan,"['Munshi Baiju', 'Renu Sounder']"
Mahesh Sreedhar,Ouseppachan,Movie Magic In Association With Malayalam Cinema Lovers Forum,,Sunil Prem,,Collins Leophil,Manoj Ramsingh,Anil Thomas,,K Sreenivas,,Anil Nemom,Minnaminungu - The Firefly (2017),,,,,Manoj Ramsingh,,,,2017-07-21,,"['Surabhi Lakshmi', 'Rebecca Thomas']"
,,,,Manoj Paramahamsa,,,B Unnikrishnan,B Unnikrishnan,,Shameer Muhammad,"Engandiyoor Chandrasekharan, BK Harinarayanan",,Villain (2017),,4 Musics,,Rockline Venkitesh,B Unnikrishnan,,"KJ Yesudas, Sithara Krishnakumar, Haritha Balakrishnan, Niranj Suresh, Shakthisree Gopalan, Raashi Khanna",,2017-10-27,B Unnikrishnan,"['Mohanlal', 'Manju Warrier', 'Vishal (Tamil)', 'Hansika Motwani']"
Suresh Devinchi,BR Biju Ram,,,Sreejith Vijayan,,,Salim Kumar,Salim Kumar,,Prem Sai,Swami Samvidananda,Pattanam Rasheed,Karutha Joothan (2017),,BR Biju Ram,,"Salim Kumar, Madhavan Chettikkal",Salim Kumar,,"Dr Rashmi Madhu, Khalid",,2017-08-18,Salim Kumar,['Salim Kumar']
Salu K George,,Silver Horse Films,,Manesh Madhavan,,,Tara Ramanujan,K Gopinathan,,B Ajith Kumar,,,Samarppanam (2017),,"Dawn Vincent, Ashok T Ponnappan, KV Subrahmanyan",,,Tara Ramanujan,,,,In progress,,"['Renji Panicker', 'Virginia Rodriguez', 'Indrans', 'P Balachandran', 'Santhosh Keezhattoor', 'Anil Nedumangadu']"
Joseph Nellickal,,Vaishakha Movies,,Alby,Stephy Xavier,,"Joseph Vijeesh, Sanoop Thykkoodam, Aneesh Hameed",Omar Lulu,,Dilip Dennies,"BK Harinarayanan, Dinu Mohan",,Chunkzz (2017),,"Gopi Sundar, Jubair Muhammed",,Vaisakh Rajan,"Joseph Vijeesh, Sanoop Thykkoodam, Aneesh Hameed",,"Ajay Sathyan, Arun Gopan, Divya, Gopi Sundar, Ramsi Ahamad, Sangeetha Prabhu (Sangeetha Sreekant), Kavya Ajith, Jubair Muhammed, Zia Ul Haq",,2017-04-08,Omar Lulu,"['Honey Rose', 'Balu Varghese']"
Boban,,Over The Moon Films,,Jemin Jom Ayyaneth,,,"Abhiram Suresh Unnithan, Nandu Mohan, Anand Radhakrishnan",Abhiram Suresh Unnithan,,"Aravind Gopal, Ramu Raveendran","Vinayak Sasikumar, MR Vibin",,Himaalayathile Kashmalan (2017),,Aravind Chandrasekhar,,"Nandu Mohan, Anand Radhakrishnan, Arunima Abhiram Unnithan","Abhiram Suresh Unnithan, Nandu Mohan, Anand Radhakrishnan",,"Joju Sebastian, Mridula Warrier, Sooraj Santhosh",,2017-07-29,"Abhiram Suresh Unnithan, Nandu Mohan, Anand Radhakrishnan","['Hima Sanker', 'Jins Bhaskar']"
,,The Movie Club,,Little Swayamp,,,"Muneer Ali, Soubin Shahir",Soubin Shahir,,Praveen Prabhakar,"Traditional, Vinayak Sasikumar",,Parava (2017),,"Gopi Sundar, Rex Vijayan",,"Anwar Rashid, Shyju Unni","Muneer Ali, Soubin Shahir",,"Rex Vijayan, Dulquer Salmaan, Sreenath Bhasi, KE Nabeesa",,2017-09-21,"Muneer Ali, Soubin Shahir","['Dulquer Salmaan', 'Shane Nigam', 'Govind V Pai', 'Amal Shah']"
Shiji Pattanam,,Maqtro Pictures,,Alex J Pulickal,Stephy Xavier,Old Monks,Jis Joy,Jis Joy,,Ratheesh Raj,Jis Joy,,Sunday Holiday (2017),,Deepak Dev,,,Jis Joy,,"Jyotsna, Anwar Sadath, Karthik, Arvind Venugopal, Aparna Balamurali, Prakash Babu",,2017-07-14,,"['Shruti Ramachandran', 'Asif Ali', 'Aparna Balamurali']"
,,,,Faizal V Khalid,,Antony Stephens,Gaffoor Y Elliyas,Gaffoor Y Elliyas,,Ratheesh Mohan,"Bappu Velliparambu, Rafeeq Ahamed",Manoj Angamaly,Pareeth Pandari (2017),,James Vasanthan,,"Shybin T, Bellie Raj",Gaffoor Y Elliyas,,"Belli Raja, Zia Ul Haq",,2017-03-17,Gaffoor Y Elliyas,"['Kalabhavan Shajohn', 'Sajitha Madathil']"
Mahesh Sreedhar,Ronnie Raphael,Chaya Films,,Anil Eswar,,Collins Leophil,Ratheesh Sukumaran,Rajeevnath,,Praveen Mangalathu,Poovachal Khader,Karumom Binu,Poottu (2017),,Sathish Ramachandran,Koodaaram,,Ratheesh Sukumaran,,,,In progress,UK Kumaran,"['Aryan', 'Vineetha M Mohandas']"
Murali Beppur,Varun Raghav,Remember Cinema,,Nahiyan,,Adhin Ollur,Peethambharan,Sandeep Ajith Kumar,Navaneeth Films Release,Febin Sidharth,"Janardanan Chikkilikkodu, Manoj Mayyannur",,Aakaashathinum Bhoomikkum Idayil (2017),,"Varun Raghav, Gafoor M Khayyam",,Niroop Guptha,Peethambharan,,"Unni Menon, KK Nishad, Anjali Sugunan",,2017-03-17,Peethambharan,['Musthafa']
M Rishi,,New Planet Films,,Pratheesh Nenmara,Radhakrishnan Ambadi,Sunil V Panicker,M Hajamoinu,Suresh Thiruvalla,,Vishnu Kalyani,"Bichu Thirumala, Sreeja Jayakrishnan, Suresh Pillai",,Kuppivala (2017),,Manju Jayavijaya,,,Santhosh Olathaanni,,"Madhu Balakrishnan, Madhusree Narayan, Sudeep Kumar, Vijay Yesudas",,2017-03-17,Santhosh Olathaanni,"['Nila Menon', 'Ananth K Jayachandran']"
,,,,,,,,Pradosh,,Aby Chander G,"BK Harinarayanan, Pradosh",,Duryodhana (2017),,"CS Kumar, Raghu Puthilam",,Pradosh,,,"Madhu Balakrishnan, Sachin Warrier, Hari Kappayoor",,2017-01-12,Pradosh,[]
,,,,Manesh Madhavan,,,,Sanju Surendran,,,,,Aedan (2017),,,,,,,,,In progress,,['Nandini Sree']
,,,,,,,,Sanalkumar Sasidharan,,,,,Unmaadiyude Maranam (2017),,,,"Shaji Mathew, Aruna Mathew",,,,,In progress,,[]
AV Gokul Das,Bijibal,Reel & Real Cinema,,Madhu Neelakandan,SB Satheeshan,Old Monks,Kamal,Kamal,,Sreekar Prasad,"Gulzar, Rafeeq Ahamed",Pattanam Rasheed,Aami (2017),,"M Jayachandran, Taufiq Qureshi",,"Raphael P Thomas, Roban Rocha",Kamal,,"Shreya Ghoshal, Vijay Yesudas, Javed Ali, Arnab Dutta, Roop",,2018-09-02,Kamal,['Manju Warrier']
Sabu Cyril,Sam C S,Ashirvad Cinemas,,Shaji Kumar,,,Harikrishnan,VA Sreekumar Menon,Maxlab Release,Johnkutty,"Prabha Varma, Rafeeq Ahamed, Lakshmi Srikumar",Roshan NG,Odiyan (2018),,M Jayachandran,,Antony Perumbavoor,Harikrishnan,"Palakkad, Ottapalam, Varanasi","MG Sreekumar, Mohanlal, Shankar Mahadevan, Shreya Ghoshal, Sudeep Kumar",,2018-12-14,Harikrishnan,"['Mohanlal', 'Manju Warrier']"
,,Varnachithra Big Screen,,Alagappan,,Collins Leophil,K Gireesh Kumar,Samuthirakani,Varnachithra Release,Ranjan Abraham,Rafeeq Ahamed,,Aakaasha Mittaayi (2017),,"Bijibal, Manzoor Ahamed",,Mahaa Subair,K Gireesh Kumar,,"Rimi Tomy, Viswajith, Arvind D Nair, J Krishna, Sruthi Sasidharan, Amritha Thankachy, Anju Mohan, Anusha, Abhijith Vijayan, Sai Bhadra, Ezhitha Sunil , Gopu Krishna",,2017-10-27,K Gireesh Kumar,"['Jayaram', 'Iniya']"
AV Gokul Das,,,,Jayesh Nair,Stephy Xavier,,,Sidharth Bharathan,,Bavan Sreekumar,Santhosh Varma,,Varnyathil Aashanka (2017),,Prasanth Pillai,,,,,"Santhosh Varma, Shreekumar Vakkiyil",MR Rajakrishnan,2017-04-08,,['Kunchacko Boban']
